gene_id,transcript_id,Outer radial glia (oRG),IP,Callosal projection neurons (CPN),CFuPN,Corticofugal projection neurons (CFuPN) (likely CthPN),CFuPN (likely SCPN),Projection neurons (PN),aRG (cycling progenitors),cortical hem
ENSG00000185278,ENST00000367701.10,0.4355421898602325,0.31640112574390716,0.6653457004702424,0.6123652550279144,0.7638931064414236,0.7587836240632485,0.5999768638496664,0.27018785071087037,0.4464786388391534
ENSG00000225206,ENST00000424528.2,0.0010118571848577753,0.009088282188275006,0.12969576830626423,0.12000780879777609,0.1295768996800105,0.1318379510343155,0.0295476086228117,0.0049290109514901,0
ENSG00000115234,ENST00000453453.1,0.03086923214956818,0.008931436794928364,0.011499810679533767,0.004418397329997252,0.011822046767576488,0.016426307454385898,0.012102263274243682,0.007394832476200262,0.05098043811288581
ENSG00000082258,ENST00000264157.10,0.23731740713990077,0.16218286024766637,0.28727171762552756,0.31580856531549983,0.3617697701853478,0.3832597594470745,0.31209758002173804,0.17328889773884534,0.2988726420707443
ENSG00000144395,ENST00000463826.5,0.002066654835639823,0.005761098209950741,0.00644816846733437,0.0022375737812879077,0.008064204135610212,0.003249489786287356,9.965234055016841e-4,0.09668942008875066,0
ENSG00000119042,ENST00000443023.5,0.02496447789842209,0.018173564531040867,0.3908232508020921,0.17129884677137233,0.13647236956426204,0.10029206152455467,0.02998567897574221,0.018060407982670945,0.06578240626398729
ENSG00000164082,ENST00000464585.1,0.006505824150738446,0.0486273461019211,0.026053231571134542,0.026557083122971517,0.0679701361058938,0.05632744030327649,0.01610145097270668,0.004561216212433765,0
ENSG00000164088,ENST00000323588.9,0.007084511659728002,0.010387205475007988,0.010329399117606827,0.013276963956938115,0.03502526970687433,0.019719442100981387,0.013948444553840457,0.0030687140241287382,0.04406455699996413
ENSG00000164088,ENST00000296487.8,0.002462189644649386,0.0038816226107578258,0.004005669269120346,0.004946780494757478,0.016117640883213966,0.00867145034233965,0.006623855219570478,0.0030687140241287382,0.003727538686867291
ENSG00000164088,ENST00000409502.7,3.788929021134092e-4,0.001340916358448282,0.0026805526689287567,0.00638280540867119,0.011068856796713378,0.006877683374791603,0.004806444153028607,0.0030687140241287382,0.003727538686867291
ENSG00000163938,ENST00000418458.6,0.4013320097369077,0.3410564378620793,0.6054783708953055,0.6026729639743745,0.5289739493421155,0.47160205410343736,0.8511745034735201,0.35547242224885517,0.4010653577896138
ENSG00000067560,ENST00000418115.6,0.9205334893639086,0.5404884616597191,0.4068962741759056,0.3264418746688606,0.32015124363936215,0.252152610462315,0.46392994421462297,1.1515958772287553,1.089704358174744
ENSG00000287707,ENST00000667061.1,0.001685064811151151,0.019467204980905782,0.016505557797301687,0.03158957045718965,0.03438564328294953,0.04099328138922925,0.09518583177035285,0.006899676422667075,0.01806882888577199
ENSG00000272335,ENST00000607056.1,0.1034095638534745,0.11711373246665084,0.20459627929514762,0.24153077703588366,0.3090419296787533,0.4228574628318623,0.2086803515186655,0.07177842886696643,0.1034065138558342
ENSG00000120727,ENST00000265192.9,1.1642085537726896,1.4243698605628017,0.9783142378799118,0.6948619507296104,0.7982786226331562,0.7093156876366091,1.3122561881516115,1.4049328680653013,1.6855538596019424
ENSG00000239389,ENST00000289272.3,0.05721396366513335,0.019001135226520274,0.0645849091983892,0.07656872381886817,0.08957457000513226,0.06649941600667711,0.03282314036017321,0.01363630348781224,0.06801307607032142
ENSG00000152377,ENST00000282223.11,0.04200019000602476,0.09360993569002175,0.11428127797063857,0.13180737961940317,0.30668692752937143,0.1429006495137291,0.11740725161059219,0.02375975292408809,0.026207770619432743
ENSG00000112983,ENST00000402931.5,0.05740931772321856,0.0347234764567317,0.06633165410647579,0.10763217771755694,0.1122131860372786,0.06911760391547063,0.1280523477492355,0.16513761809666977,0.08934933728532884
ENSG00000206503,ENST00000376809.10,0.2845694059371828,0.4080843332972352,0.10960861927252948,0.04508612438676133,0.08896830803062179,0.07361211556078545,0.1269874360588216,0.3500629652840752,0.421101973226835
ENSG00000204592,ENST00000376630.5,0.3517536118771544,0.06193294086061957,0.0078733953212671,0.014434653312181241,0.002310377428993932,0.010751675165315314,0.03521601572881543,0.1903615753037732,0.6216922561656738
ENSG00000124507,ENST00000538621.2,0,0.0022276797728221598,0.004501053532706449,0.006008860617702237,0.012301595315393541,0.005346871435526839,0.013890372977145597,0,0.0013652444327042553
ENSG00000112655,ENST00000470019.5,0.05871943976573929,0.09707919406480439,0.02913184046996371,0.02737095618413999,0.03806711694244651,0.045525457541972084,0.029688125419407237,0.050746506719475504,0.05196518508892205
ENSG00000171462,ENST00000357338.3,0,0.0016322639712643848,0.016919719766649872,0.031575316848765446,0.028693030125090217,0.05497421642944636,0.011428165992551132,0.008177924356589766,0
ENSG00000196313,ENST00000627934.3,0.21429891675273727,0.15813036517612927,0.2504028493501582,0.24694136924695936,0.18420316734633285,0.2108190098343022,0.28863360808573585,0.16494252053789335,0.40639994427454046
ENSG00000173114,ENST00000422987.3,0.12018799483810315,0.04991411103431831,0.19299297486258063,0.1932929717162635,0.09346346998241692,0.20000790876958502,0.08551942477691137,0.022781900105343218,0.13856037511596925
ENSG00000122778,ENST00000422774.2,0.16048264364049006,0.22306601237750004,0.38826268869265995,0.46551614520837037,0.4169734240639253,0.3975787116170602,0.19056781660371935,0.1777453557813168,0.18733390585824272
ENSG00000167912,ENST00000662685.3,0.02269995065526067,0.0026805955037808365,0.006090236826918573,0.024248063880178614,0.03945826723526745,0.024422214142493143,0.0032641229530184987,0.0025545577622416915,0
ENSG00000166197,ENST00000370007.5,0.08733982253377023,0.07372908633239679,0.10164976724230941,0.11211881892536593,0.12613734721352418,0.10602117410152802,0.22428017292805383,0.08605243120633861,0.07644796063770735
ENSG00000269609,ENST00000597488.1,0.031460942586875006,0.01784124831298705,0.03716267872285861,0.02620706088639799,0.08072391793232132,0.10957022433110569,0.053307211493221006,0.009039316282640727,0
ENSG00000174871,ENST00000311445.7,0.09216312004444516,0.22940449271080715,0.36601495284315516,0.3526880267075497,0.4169730413178702,0.30681178600792786,0.13329098775948456,0.23553634123991019,0.16639627830114928
ENSG00000175376,ENST00000312234.6,0.03263947419143236,0.042269185863731414,0.05564739001407533,0.04970021884395285,0.05641047424296029,0.06512557954069921,0.11161398193717387,0.04089010066621193,0.03320466773636197
