gene_id,transcript_id,Outer radial glia (oRG),IP,Callosal projection neurons (CPN),CFuPN,Corticofugal projection neurons (CFuPN) (likely CthPN),CFuPN (likely SCPN),Projection neurons (PN),aRG (cycling progenitors),cortical hem
ENSG00000138399,ENST00000445210.1,0.05986551497148971,0.0910447277925727,0.10371309270149912,0.11022914378746528,0.20844355160070727,0.17788557661156223,0.1020718903377385,0.038835158943840986,0.0766880591184912
ENSG00000271860,ENST00000658994.1,0.011776029612053915,0.02213597127075505,0.0018207235226643877,0.0031508563855957685,0,0.0039068277770924415,0.0024878582046270518,0.0345138378045031,0
ENSG00000175806,ENST00000517594.1,0,0,0.010725971317136842,0.04152813362044803,0.014709620415744718,0.02725378809048885,0.003319894693597621,0,0
ENSG00000151150,ENST00000489505.2,0,0.01799908472917056,0.02620533441255489,0.016766654886189614,0.05525936683708935,0.025562386531964014,0.012555569323551993,0,0.00546097773081702
ENSG00000133318,ENST00000356000.7,0.1651042521470304,0.21116344294016323,0.26719250687654905,0.22340962507979342,0.4229335137467837,0.2976944082106341,0.3137269559782355,0.22329983902139422,0.1915279053714034
ENSG00000168056,ENST00000529582.6,0.04107605324290967,0.014350250339881842,0.0066972889894575645,0.008141554071018003,0.004511646745096344,0.004439107468128104,0.005984085815922715,0.01569389215516762,0.0850486545532932
ENSG00000110697,ENST00000534749.5,0.03240926596203779,0.007063268027253272,0.024762898145866824,0.026873254125397875,0.03058865442301768,0.02863033111445317,0.01707830661470229,0.024705220448900417,0.04025839509619088
ENSG00000156232,ENST00000286760.5,0.17102681941097084,0.17036373286252027,0.18123663858409422,0.20719081530726724,0.19173948931425253,0.20266654492763125,0.4574833429054923,0.1394238156494321,0.3683303683698899
ENSG00000197696,ENST00000360476.8,0.8604442944483884,6.247294908289434,1.3498215691182869,1.4659909174760564,0.6002458297852441,0.6518813849709783,2.3613014063333204,7.053747055248691,13.298591527676288
ENSG00000175906,ENST00000320033.5,0.2855010386578834,3.2485166185728445,1.1025431617030887,0.9692710601771282,0.6835187142996845,0.7058983704725355,0.9655967125204635,0.46962886066482173,0.20540637100084305
ENSG00000196236,ENST00000357137.9,0.29045723937032253,0.1287062445411781,0.16697599782676079,0.16371273351647786,0.21205091716653812,0.15734174601982912,0.44960672122919504,0.1241133736004447,0.17034064171539268
