"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","ensembl_id","entrez_id"
8.48941950764246e-300,4.16195713753041,0.985,0.491,3.84485809501127e-295,"Interneurons","ENSG00000231764.12-DLX6-AS1","ENSG00000231764",NA
1.02647155021705e-263,2.9898197398033,0.997,0.805,4.64888965093303e-259,"Interneurons","ENSG00000021645.20-NRXN3","ENSG00000021645","9369"
1.32498201751604e-240,2.86280959396054,0.9,0.211,6.00084355733016e-236,"Interneurons","ENSG00000105880.7-DLX5","ENSG00000105880","1749"
1.08578557609337e-236,3.21547178095927,0.925,0.389,4.91752287412686e-232,"Interneurons","ENSG00000102024.19-PLS3","ENSG00000102024","5358"
8.8056070528041e-231,2.64147692523909,0.972,0.512,3.98805943421498e-226,"Interneurons","ENSG00000172878.14-METAP1D","ENSG00000172878","254042"
2.98385526158231e-227,3.22904955587183,0.808,0.149,1.35138804797063e-222,"Interneurons","ENSG00000006377.11-DLX6","ENSG00000006377","1750"
7.94532786012882e-225,1.39115517234419,1,0.992,3.59843898785234e-220,"Interneurons","ENSG00000196628.20-TCF4","ENSG00000196628","6925"
4.19302107925544e-221,2.12169354424032,0.993,0.935,1.89901924679479e-216,"Interneurons","ENSG00000154229.12-PRKCA","ENSG00000154229","5578"
1.9698638072369e-219,1.65692653022027,1,0.957,8.92151318297592e-215,"Interneurons","ENSG00000172292.15-CERS6","ENSG00000172292","253782"
7.86818143303526e-203,1.57547652493473,0.999,0.902,3.56349937102167e-198,"Interneurons","ENSG00000077279.21-DCX","ENSG00000077279","1641"
6.06635478765868e-202,3.36038730468806,0.942,0.726,2.74745208333062e-197,"Interneurons","ENSG00000158623.14-COPG2","ENSG00000158623","26958"
6.87194891441961e-197,2.4604852343353,0.891,0.298,3.11230566334064e-192,"Interneurons","ENSG00000136750.13-GAD2","ENSG00000136750","2572"
6.87194891441961e-197,2.4604852343353,0.891,0.298,3.11230566334064e-192,"Interneurons","ENSG00000136750.13-GAD2","ENSG00000136750","2572"
6.87194891441961e-197,2.4604852343353,0.891,0.298,3.11230566334064e-192,"Interneurons","ENSG00000136750.13-GAD2","ENSG00000136750","2572"
1.99913630898584e-194,2.94591498751177,0.817,0.218,9.05408834339687e-190,"Interneurons","ENSG00000147488.13-ST18","ENSG00000147488","9705"
1.99913630898584e-194,2.94591498751177,0.817,0.218,9.05408834339687e-190,"Interneurons","ENSG00000147488.13-ST18","ENSG00000147488","9705"
2.22436863815739e-192,2.34814812363863,0.923,0.38,1.00741655622148e-187,"Interneurons","ENSG00000127152.18-BCL11B","ENSG00000127152","64919"
5.70158240021367e-189,2.09017104740013,0.99,0.967,2.58224666905677e-184,"Interneurons","ENSG00000110693.19-SOX6","ENSG00000110693","55553"
5.69912283189698e-188,1.45510328719011,0.997,0.956,2.58113273056614e-183,"Interneurons","ENSG00000272168.11-CASC15","ENSG00000272168",NA
1.13375442810641e-187,2.76887901411301,0.801,0.204,5.13477380489393e-183,"Interneurons","ENSG00000101638.14-ST8SIA5","ENSG00000101638","29906"
1.13375442810641e-187,2.76887901411301,0.801,0.204,5.13477380489393e-183,"Interneurons","ENSG00000101638.14-ST8SIA5","ENSG00000101638","29906"
2.11757514644998e-186,3.01465861656568,0.752,0.173,9.59049783827198e-182,"Interneurons","ENSG00000288958.2-ENSG00000288958","ENSG00000288958",NA
6.79432288814843e-186,3.70532070735588,0.78,0.259,3.07714883604243e-181,"Interneurons","ENSG00000286214.1-COPG2IT1","ENSG00000286214",NA
1.55346107046558e-185,3.97681552322623,0.617,0.077,7.03562518813863e-181,"Interneurons","ENSG00000274709.1-ENSG00000274709.1","ENSG00000274709",NA
