"Timepoint","Cluster","nCells","ScTypeDB_Default","6mOrg_Custom","Panglao","6mOrg_Reference"
"3M_Org","0",885,"Glutamatergic neurons","CPN","Interneurons","CPN"
"3M_Org","1",712,"Mature neurons","Unknown","Neuroblasts","Neuroblasts"
"3M_Org","2",609,"Immature neurons","CPN","Neurons","CPN"
"3M_Org","3",567,"Immature neurons","CPN","Neurons","CPN"
"3M_Org","4",478,"Neural Progenitor cells","IP","Neural stem/precursor cells","Intermediate progenitors"
"3M_Org","5",388,"Cholinergic neurons","aRG","Trigeminal neurons","aRG"
"3M_Org","6",239,"Radial glial cells","oRG_II","Radial glia cells","Radial glial cells"
"3M_Org","7",116,"Radial glial cells","IN_progenitors","Neural stem/precursor cells","Interneuron progenitors"
"3M_Org","8",47,"Radial glial cells","Astroglia","Astrocytes","Astroglia"
"3M_Org","9",30,"Schwann precursor cells","Unknown","Unknown","Unknown"
