gene_id,transcript_id,Apical Radial Glia (aRG),Apical Radial Glia (aRG) - Cycling,Cajal-Retzius Cells,Cortical Hem Cells,Deep Layer Projection Neurons,Newborn Deep Layer Projection Neurons,Preplate Neurons,Radial Glia (Mixed),Subcortical Progenitors
ENSG00000121152,ENST00000427946.5,4.750000099999999,8.9181696418,0.25,0.25,0,1,0.75,1.5,1.33333334
ENSG00000144028,ENST00000323853.10,472.91666668,541.25000002,138.63333336,241,175.16666668,188.66666668,267.49739214,234.66666668,101.83333334
ENSG00000168056,ENST00000529582.6,6.827441974999999,8.51672717,0.8285714499999999,6.512337629999998,0.6285714499999999,1.7571429000000003,0.14285715,9.300000099999995,0.84285715
ENSG00000110697,ENST00000534749.5,7.25000004,8.08333338,6.35651762,11.67779318,6.2500000799999995,2.25,7.58333334,4.333333339999999,0.58333334
ENSG00000092531,ENST00000249647.8,70.00952387000001,64.914285765,9.33333334,51.287709655,12.89583334,31.64285717,17.11904768,28.976190529999997,11.1666667
ENSG00000197696,ENST00000360476.8,71.92801765000002,178.42982168,42.873359,259.4712216500001,298.5765586,764.39699406,446.82302376,47.67764596,12.1693479
ENSG00000175906,ENST00000320033.5,114,179,79,101,596,1139,145,62,14
ENSG00000012048,ENST00000473961.6,15.501257821000001,22.354417312000006,0.15384616,6.814214249999999,0,3.4865079490000004,0.451269107,3.0222222259999993,4.8958391379999995
ENSG00000196236,ENST00000357137.9,92,130,14.5,43.5,34.5,44.5,55.5,51.5,15
ENSG00000254986,ENST00000544603.1,0,0,0,0,0,0,0.11111111,0,1
