gene_id,transcript_id,Apical Radial Glia (aRG) - Cycling,Callosal Projection Neurons (Upper Layer),Cortical Hem Cells,Corticofugal Projection Neurons (Deep Layer),Corticothalamic Projection Neurons (Deep Layer),Glutamatergic Neurons (Unspecified Layer),Intermediate Progenitors (IP),Outer Radial Glia (oRG)
ENSG00000121152,ENST00000427946.5,4.100000039999999,0.25,0,0.25,0.25,0.25,0,0.41666667
ENSG00000138399,ENST00000445210.1,3,135.08333334,5,69.58333334,183,44.5,32.833333339999996,15.25
ENSG00000113319,ENST00000502677.1,0,0,0.5,0,0.5,0.5,0,0
ENSG00000271860,ENST00000658994.1,5,0.16666667,0,0.25,0,0,2.226190496,2.05311357
ENSG00000168056,ENST00000529582.6,1.2285714500000002,7.209524020000001,1.32857145,3.057142925000001,4.276190615000002,2.70476195,5.042860849999999,8.157094859999999
ENSG00000172663,ENST00000393877.3,1,27.17287716,4.146035675,8,27.266780439999998,7.7836309,3,5.72622975
ENSG00000092531,ENST00000249647.8,8.6666667,42.523809574999994,3,13.205357170000001,18.423809555,18.738095255,14.547619105,27.80952383
ENSG00000156232,ENST00000286760.5,26,199.4094879,19,104.0647473,167,178.5280913,50,35.1565176
ENSG00000197696,ENST00000360476.8,1206.8048817000001,1515.5527238500008,1064.7457913,819.6280920300002,498.0797589599998,1066.35206884,2136.6216489599997,239.53872136
ENSG00000175906,ENST00000320033.5,72,1258.7850673,13,605.9999727,677.317391,418,1128,66
ENSG00000012048,ENST00000473961.6,8.182564006,0.105555556,0.11437908599999999,0.15000000000000002,0.360505322,0,0.45476191499999996,0.8107032849999999
ENSG00000196236,ENST00000357137.9,16.5,198.5,10.5,104,193.5,208.1666667,47,55.53044707
