gene_id,transcript_id,Apical Radial Glia (aRG),Apical Radial Glia (aRG) - Cycling,Cajal-Retzius Cells,Cortical Hem Cells,Deep Layer Projection Neurons,Newborn Deep Layer Projection Neurons,Preplate Neurons,Radial Glia (Mixed),Subcortical Progenitors
ENSG00000218739,ENST00000392061.6,44.353503839999995,35.2529703,36.512429999999995,60.568548899999996,34.2529703,30.5,47.012429999999995,25.586303700000002,23.5
ENSG00000144395,ENST00000463826.5,12.5,49,0,1,0,5,5,0,3
ENSG00000138074,ENST00000408041.5,0,0,0.83333334,4.83333334,1,0,0,0,0
ENSG00000115825,ENST00000379066.5,79.58333338,92.6166667,10.833333360000001,35.64929954,9.5,41.154219680000004,20.259075324999998,42.50000004,31.41665145
ENSG00000076242,ENST00000231790.8,42.756949529,60.35519271900003,6.927331014000001,12.725407947999999,7.883744256649998,12.281509657,12.934310331999999,8.874341022,17.906440187999998
ENSG00000164081,ENST00000341333.10,67.29947371000002,57.582195920000004,39.97076999,84.35508702999999,33.71821366,17.91295257,42.15000003000001,38.642838809999994,19.67857145
ENSG00000164082,ENST00000464585.1,1.66666668,0.33333334,12.33333356,4.00000002,13.333333579999994,13.000000179999994,6.666666760000001,0,0.66666668
ENSG00000164088,ENST00000323588.9,0.16666667,0.83122067,0.33333334,5.33333335,0.16666667,1,1,0.33333334,2
ENSG00000163938,ENST00000418458.6,256.62028446146996,158.58244971999997,60.88621968,76.92737916,109.08502738,118.75000001999999,72.16655424000001,170.67537056999998,66.5
ENSG00000067560,ENST00000418115.6,561.9876075000001,574.7751869,138.5879123,435.5965199,155.8509808,228.76566585,313.86728789,228.07426704,219.58832950000001
ENSG00000285708,ENST00000647725.1,0,0,0,0,8,0,1,0,0
ENSG00000120727,ENST00000265192.9,810.6420622799999,973.9063886400002,477.63274324,466.83942293999996,406.3771224200001,645.4301697999998,961.1773361200002,401.8928448799999,319.31906114
ENSG00000146007,ENST00000274712.8,365,404,239.95750564,222,363,339,462,160,128
ENSG00000215217,ENST00000509627.1,4,3.5,1,6.79168561075,1,3,1.74702966,2.5,0
ENSG00000245526,ENST00000666342.1,4.16113019,5.26160343,3.0500000500000004,1.3611111500000002,6.1042538099999994,1.86111082,12.262003645000002,5.052976225000001,0.7499849
ENSG00000112983,ENST00000402931.5,48.36900408,103.44849307999993,24.98958675,25.88642478,32.52343603000001,31.680298600000004,35.56798545,12.396826039999999,17.08928575
ENSG00000204592,ENST00000376630.5,54,44.5,3,97,1,9,10,64,26
ENSG00000124507,ENST00000538621.2,1,0,1.25,0,3.75,0.5,0.25,0,0
ENSG00000173114,ENST00000422987.3,5.6666666800000005,7.333333359999999,51.402321200000024,24.466910819999995,66.81782749000004,23.500000379999996,70.33333408000003,10.6666668,52.99192292
ENSG00000122778,ENST00000422774.2,106.3423006,106.6901278,94.5,33,51.9427254,32,82.5000012,52,17
ENSG00000160932,ENST00000521699.5,11.56666674,9.500000099999996,0.5000000099999999,1.9761905199999998,13.542857229999996,2.6666667200000003,0.83333335,2.1666667099999994,1.03333335
ENSG00000136944,ENST00000355497.10,0,0.33333334,5.3333334599999995,8.666666940000002,0,0.66666668,0,0.33333334,0
ENSG00000174871,ENST00000311445.7,74.66666667999999,137.4944882,123.33333334,77.83333334,391.88164834,120.93041159,198.26987175999997,32.49445283,66.5
ENSG00000174165,ENST00000526986.5,0,2,0,0.33333334,8,0.9813426,1,1,0.33333334
ENSG00000229117,ENST00000546591.6,400.3163612399997,401.2537531000001,377.8907531,365.7825296999997,398.75907870000026,220.61396890000012,445.0708891,243.98812487000006,149.324943
ENSG00000182196,ENST00000536502.5,3.99999547,2.9999985000000002,4,16.366710939999997,1,2.99899864,1.25,1,4.999999
ENSG00000111237,ENST00000549578.6,111.67197149000002,146.16853412999998,295.58116722999995,129.991218,312.65202464,145.53856763000005,507.51887073,78.26214212000001,64.4699048
ENSG00000111237,ENST00000360579.11,214.03890969000003,289.8843744,20.571220099999998,115.85026119999999,51.560425699999996,90.55335961000004,60.55016651,59.137983000000006,63.52365204000001
ENSG00000184047,ENST00000342392.3,36.447240120000004,91.69696115100002,24.13151768,35.76337891000001,29.621020069999997,49.11251548,40.70134844999999,45.61476304,19.62222462
ENSG00000196498,ENST00000404621.5,42.5833331,41.43920927,17.273809739999997,23.750000019999998,45.717626370000005,49.000000119999996,22.250000019999998,17.62582766,7.00000004
ENSG00000118946,ENST00000377918.8,4.83333334,24.33333334,92.16666670000001,40.833333339999996,181,32.5,180.16666668,12.33333334,21
ENSG00000126214,ENST00000553286.5,28.289892234999996,26.344141409000002,52.628687,15.34317589,57.00311314000002,51.936736963,73.08009170000001,25.39239176,8.50736114
ENSG00000156411,ENST00000286953.8,993.6817589399999,1024.98970474,849.0391123500001,770.0696129,912.80971424,679.0710038799999,1205.2438316999999,661.3533883399999,362.2722379
ENSG00000137822,ENST00000564079.6,143.86154972999998,117.18044669999996,46.724481600000004,42.0595245,33.904793600000005,58.774600539999994,42.630852,57.119047699999996,32.928471099999996
ENSG00000242028,ENST00000406925.7,140.72035279999986,140.19880671999988,113.08333391999992,117.61666750999994,160.38453871999994,112.11762314999989,164.28084272999996,116.31250141999988,46.98444319000001
ENSG00000140525,ENST00000564636.1,0,3,0,0,0,0,0,0,3
ENSG00000261478,ENST00000567484.1,95,77,1,6,2,13,1,43,9
ENSG00000067369,ENST00000382044.9,264.56591039000006,312.74790399999995,251.00418211000007,223.74021640000004,298.70496962,373.44739143659996,371.80168073999994,132.27428981,87.98333337
ENSG00000169783,ENST00000561030.5,6,2,27,12,29,16.5,59.8985344,10.5,4
ENSG00000103723,ENST00000660624.1,0.95,5.5,10.282066935000001,1.357954547,9.453038607999998,3.0548504340000004,13.682153870999997,2,3.25
ENSG00000182054,ENST00000330062.8,649.8051272,850.3177155,126,273.99506579999996,211.83667834,369.0042229,289.9990754,183.33333334,245.92404109999998
ENSG00000079616,ENST00000563666.2,6.338880560000001,21.981888889999993,0.05,3.3333333799999996,3.05882353,0.64215687,4.36666668,5.00000002,0.66666668
ENSG00000174939,ENST00000308748.10,2.5,1,45.4826329,4,65.58360814,21.33333334,64.4310127,5,0.5
ENSG00000180096,ENST00000652617.2,13.666666939999999,10.833333439999999,4.33333344,14.416667019999998,2.3333333799999996,4.33333342,8.00000008,6.66666684,6.83333354
ENSG00000087088,ENST00000345358.12,419.5,430.33865790000004,190.5,423.2215798,288.0001697,221.5,336,246.04784430000004,174
ENSG00000105655,ENST00000338128.13,351.54014643000005,366.9755395699999,113.37334535999999,413.49460639,95.81459468999999,87.09179481999998,170.51157437999996,217.53689078000005,154.41184915000002
ENSG00000267629,ENST00000586064.3,2.8333333400000003,5.1666666800000005,0.5,7.0000000600000005,1.83333334,2.5,0.6666667,3.33333334,1
ENSG00000074219,ENST00000598810.5,49.03403652000003,47.307119650950035,1.4,18.916666719999988,1.76666667,27.716666689999993,15.350000009999995,11.43333335,17.19422079
ENSG00000159958,ENST00000291232.5,95,118,5,15,5,11,5,32,18
