gene_id,transcript_id,Apical Radial Glia (aRG) - Cycling,Callosal Projection Neurons (Upper Layer),Cortical Hem Cells,Corticofugal Projection Neurons (Deep Layer),Corticothalamic Projection Neurons (Deep Layer),Glutamatergic Neurons (Unspecified Layer),Intermediate Progenitors (IP),Outer Radial Glia (oRG)
ENSG00000185278,ENST00000367701.10,37.4310127,901.1148099799999,26,388.72390129999997,709.5586978800001,287.25682194,121.1779916,87.4310129
ENSG00000225206,ENST00000424528.2,1,156.00083395000001,0,75.96417549,77.2932207,12.87582774,2.33333334,0.33333334
ENSG00000233723,ENST00000429095.6,0,100.041666668,0,84.114505278,139.53661979999998,19.6738946,10.5,0
ENSG00000082258,ENST00000264157.10,15.6666667,243.4821732799999,9.08333334,145.75986543999997,249.98356477999997,102.16183006999998,44.33333340000001,28.83333338
ENSG00000144395,ENST00000463826.5,10,11,0,1,6,0,2,1
ENSG00000115935,ENST00000392547.6,2.2321429,2.2857143399999997,1.26785715,0.33333334,0.14285715,1.9583333699999999,2.4107143200000003,4.66071435
ENSG00000119042,ENST00000443023.5,1.31071431,500.27995936000076,2.14285715,66.16639133,136.94239832999986,23.395635079999995,8.67142871,5.09642866
ENSG00000164082,ENST00000464585.1,0.33333334,32.02873017999998,0,21.116666879999986,68.45000118000006,7.00000008,16.200000139999993,1.0000000199999999
ENSG00000164088,ENST00000323588.9,0.16666667,14.700000049999998,1.16666667,11.000000059999996,34.76666686000001,7.833333379999997,3.16666669,3.50000001
ENSG00000163938,ENST00000418458.6,46.16666668,816.4661516799998,31.83333334,353.1536465,554.1124235200001,439.07120392000013,128.29293766,95.93189018
ENSG00000157388,ENST00000636627.2,0,5.64722222,0,1.06111111,8.619748116,1.504761905,2.194444446,0
ENSG00000067560,ENST00000418115.6,201.8794333,541.35476774000006,74.65306980000001,199.76061051999997,391.17707421999995,252.71676730000001,209.4306273,238.11813809999998
ENSG00000287707,ENST00000667061.1,0.5,21.5,2.5,26,32.24702966,30,4.5,0.5
ENSG00000272335,ENST00000607056.1,10,264.99999994,4,189,293.9958253,104.00085870000001,42,22
ENSG00000044115,ENST00000519113.5,0,1,1,0,0,2,5,7
ENSG00000120727,ENST00000265192.9,174.43101274,1092.2878828399998,86.67163647999999,426.2348421000002,724.00490392,578.7171152600002,467.68662022000024,246.83333337999997
ENSG00000146007,ENST00000274712.8,97,1228.8706233399998,35,593.6666666799999,697.0372874,271,314,141
ENSG00000206503,ENST00000376809.10,12.95952382,47.38067645699999,5.540909096,12.822921975000002,40.358652045,24.66306241100001,51.95447335099999,24.445082840000005
ENSG00000204592,ENST00000376630.5,27,16,34,9,7,18,22,87
ENSG00000112655,ENST00000470019.5,8.166666710000001,34.83452397,3.6250000399999998,16.779762019999996,34.56547637,15.607142929999998,40.55298227,13.011904809999999
ENSG00000146215,ENST00000372569.8,10,11,0,6,4.5,1,2,4
ENSG00000173114,ENST00000422987.3,2.8333333400000003,184.45000287999963,4.16666666,106.82405997999984,77.50000112000008,40.200000800000005,14.326650359999991,20.66666709999999
ENSG00000122778,ENST00000422774.2,17,428.99432244,9,220.77714559999998,326.0811511,65,65.5,27
ENSG00000167912,ENST00000662685.4,0.18181818,7.0371212199999995,0,16.631062469999996,30.270707240000004,1.8964646499999998,0.8901515099999999,4.51515151
ENSG00000160932,ENST00000521699.5,1.1666666899999998,57.69994340999995,0.16666667,17.800000179999994,14.991666879999988,13.659396409999996,4.36666673,2.23333337
ENSG00000166197,ENST00000370007.5,10.000000069999999,139.70217930999974,4.36904773,63.327382040000025,117.9508175299997,97.02646167999988,24.152381349999995,18.892857489999997
ENSG00000174871,ENST00000311445.7,35.97924296,499.7438762,6,222.98546061,393.82503529999997,77.5,82.33333334,18
ENSG00000175376,ENST00000312234.6,5.999881310000001,81.29054307999995,4.33333336,37.533333979999995,69.24171194000009,54.83333404000007,16.16666691999999,8.000000140000001
ENSG00000229117,ENST00000546591.6,70.85538740000001,948.31781455,36.439866800000004,453.63039280000004,638.6629653,397.0942262,154.9708713,130.07924553999993
ENSG00000111237,ENST00000549578.6,46.879600880000005,1222.4426306130008,25.3374315,556.31116921,983.1167288200005,268.4908130999999,132.85843063000002,64.10563618
ENSG00000111237,ENST00000360579.11,62.65744028999999,113.49038569000002,6.3127285,38.39243103999999,51.82544103000002,46.22313036000001,75.32020880000002,98.68916954
ENSG00000184047,ENST00000342392.3,7.19444445,86.089765325,11.7237179,37.511277865,60.48420724999999,99.78740956500002,32.90312276,14.257852309999999
ENSG00000118946,ENST00000377918.8,5,407.42645708,5,847.83333334,946.1361827,194.32214158,21.5,7
ENSG00000100664,ENST00000216554.8,346.89632204000003,2580.705972900001,219.4166667,996.7125392799999,1528.4908085400007,1557.8956870000004,513.6544213000002,560.6677219399999
ENSG00000075413,ENST00000555235.1,3.860980266,36.46688709000001,0.766359582,20.819348072,51.52467197930001,10.830339492999999,6.1719946870000015,5.719764764000001
ENSG00000126214,ENST00000553286.5,11.94943431,428.20138304000005,5.14100655,215.06775261,373.94856769000046,56.58881793768399,57.57262882999999,14.790076710000003
ENSG00000242028,ENST00000406925.7,24.75000027,339.35762307000044,17.08333344,161.6666677199999,255.14973961000015,322.88642879000014,98.90347449999993,68.45833386999999
ENSG00000140525,ENST00000564636.1,3,1,0,1,1,0,0,1
ENSG00000255571,ENST00000663717.1,2.8476793719999995,5.647947781999998,2.1465192,3.390975599,6.242886955,7.0759143899999994,7.069071192000001,3.0925447560000006
ENSG00000128881,ENST00000267890.11,47.5003016,979.36207874,18.74772483,384.99274772,890.2083495400001,230.1995437,150.5,71.5186573
ENSG00000159459,ENST00000290650.9,16,214.75784219999997,10,96.0000033,187.00036599999999,136.55577176,76.5,36.0005007
ENSG00000067369,ENST00000382044.9,49.11466561,837.3228864700012,46.53333334,390.0793081599999,579.92948931,348.10476116,107.86190442999998,104.2050409
ENSG00000169783,ENST00000561030.5,2.517444076,273.82874549999997,2.5,198.70617133999997,262.5642871,69.20124246,12.33333334,6
ENSG00000182054,ENST00000330062.8,246.7386128,577.6558837800001,31,265.40577134,373.82962174,163,234.82412933999998,178.49833566
ENSG00000013364,ENST00000395353.5,1.5,42.75,3,38,42.29166668,46.5,3.75,11.5
ENSG00000013364,ENST00000357402.10,0.5,17.1072625,2,8,9.166666679999999,15.5,1.75,1.5
ENSG00000167193,ENST00000398970.5,41.5,379.90356154,13.5,199.75165553999997,352.83955103999995,165.1995375,75.24702966,49.5
ENSG00000174238,ENST00000313486.12,40,297.4150113,23.5,169,292.49096629999997,149.1546216,60.5,79.16666670000001
ENSG00000287553,ENST00000670012.2,1,7,6.5,3,4,1,2,0
ENSG00000132361,ENST00000574426.7,2.3000000000000003,40.80476198000001,0.9,18.59285715999999,34.27857146999999,24.192857169999982,4.685714300000001,8.05
ENSG00000006015,ENST00000595077.1,8,140.33333342999998,7,82.50000001,178.6011905,49.16666667,28.16666667,16.15291277
ENSG00000087088,ENST00000345358.12,185.00164,1046.02460447,95,464.9813426,657.9442157,577.98333544,301.998302,340.999777
ENSG00000104870,ENST00000426395.7,0.4,1,10.03332194,0,0,0,2.7,1.78333334
ENSG00000126453,ENST00000594793.1,0.11764706,0.05882353,0,0,0,0.05882353,0,0
ENSG00000074219,ENST00000598810.5,3.4000000000000004,6.9333333400000035,0.9666666700000001,1.8499999999999999,1.5,0.4,14.183333349999993,10.800000009999996
ENSG00000100211,ENST00000492537.5,0,0.2,0.16666667,0,0,0,0,0
ENSG00000159958,ENST00000291232.5,37,37,2,22,18,20,8,19
ENSG00000106003,ENST00000359574.7,0,0,1,0,0,0,0,1.5
ENSG00000163328,ENST00000459996.1,0,0,0.2,0,0,0,0,0
ENSG00000074219,ENST00000539846.5,0,0,0.16666667,0,0,0,0,0
