gene_id,transcript_id,Callosal Projection Neurons (Upper Layer),Glutamatergic Neurons,Intermediate Progenitors (IP),Interneurons,Oligodendrocyte Progenitors,oRG to Astrocytes (Transitioning),oRG to Oligodendrocyte Progenitors (Transitioning),Outer Radial Glia (oRG) - Cycling
ENSG00000134369,ENST00000477118.2,9,4,4,10,1,51,9,6
ENSG00000225206,ENST00000424528.2,10.017367140000001,16.66666668,2.5,0.5,1,4,0,0
ENSG00000115234,ENST00000453453.1,3.3333333400000003,2.2,2.75000002,6.633333340000001,4.2833334,29.22009087999999,8.97916137,3.2
ENSG00000218739,ENST00000392061.6,8,19.4035048,8.6053797,29.5,8.5059407,138.5718685,9.5,6
ENSG00000233723,ENST00000429095.6,24,5.5,5,21.1512355,1,1,2,1.5
ENSG00000144395,ENST00000463826.5,5,1,1,1,3,6,21.142857149999998,17
ENSG00000115935,ENST00000392547.6,2.87896833,2.4761905300000002,1.9095238700000001,11.110714459999997,6.922619160000001,49.93585860000005,13.681112629999998,5.79761921
ENSG00000119042,ENST00000443023.5,19.114718959999994,14.513407619999995,0.55357145,12.160714429999995,3.6821429799999996,15.306349459999991,8.8142858,0.5714286
ENSG00000155729,ENST00000409157.5,18,20.5,5,35.833333339999996,7.5,81.83332414,10.5,11.5
ENSG00000171951,ENST00000421386.1,0.5,0,0,0,0,17.0680536,0,0
ENSG00000076242,ENST00000231790.8,3.6891853279999998,6.617482532,3.069444442,17.444024983999995,4.326320838,36.70615094,49.99928368500001,18.080981733
ENSG00000164081,ENST00000341333.10,26.07142862,66.5952291,26.461904790000002,49.08333336,49.58499456000001,452.52795632000004,77.96061141000001,35.7928553
ENSG00000243989,ENST00000636880.1,0,2.32051283,0.16666667,0.37202382,1.68452382,7.4551846500000005,0.61904764,0
ENSG00000243989,ENST00000636358.2,0,0.32051282999999997,2,0.37202382,0.68452382,12.655184649999997,0.61904764,0
ENSG00000164088,ENST00000323588.9,1.3333333399999998,3.16666669,1,5.500000009999999,0.5000000099999999,22.833333460000013,6.000000019999998,0.33333334
ENSG00000164088,ENST00000296487.8,0.33333334,1.1666666899999998,0,1.5000000099999997,0.5000000099999999,9.500000119999994,1.0000000199999999,0.33333334
ENSG00000164088,ENST00000409502.7,0.33333334,1.1666666899999998,0,0.5000000099999999,0.5000000099999999,6.833333459999996,1.0000000199999999,0.33333334
ENSG00000164088,ENST00000482724.1,0.33333334,1.1666666899999998,0,0.5000000099999999,0.5000000099999999,6.500000119999996,1.0000000199999999,0.33333334
ENSG00000168273,ENST00000307106.3,7,10,6,17,9,78.25,16,8
ENSG00000163938,ENST00000418458.6,88.4999991,114.64763386999999,45.75000004,117.50507461999999,123.86111113,279.08627407,145.21357609999998,34.25
ENSG00000131374,ENST00000253692.11,27.73333338,35.80232064,29.25,84.84028544000002,38.30529094,287.98840578999994,108.86692244999999,65.95580158
ENSG00000067560,ENST00000418115.6,123.507254,174.67248229999998,142.00752390000002,579.7552787899999,239.23180744,2957.4569454000007,624.3503011,254.74121550000004
ENSG00000285708,ENST00000647725.1,0.08,0,0.03125,0,0,0,0,0.164583336
ENSG00000205981,ENST00000486355.1,4,6,9.500000009999999,15.285714299999999,10.2877479,82.28402613000002,18.142857149999998,13.2996385
ENSG00000120727,ENST00000265192.9,320.8131859,253.13733602000002,230.23685909999995,1037.7428977399998,287.83964676000005,1753.1540377400008,494.9342265800002,296.07614886000005
ENSG00000253767,ENST00000398604.3,5.775360314000003,2.5760660140000007,2.4008493240000006,14.485693817000005,1.3459808460000005,10.641338578000003,7.709899495999999,5.908707948000001
ENSG00000245526,ENST00000666342.1,10.1279608,3.1815476700000005,6.077167920000001,18.757038199999997,0.62777778,9.574629640000001,2.7751017100000004,0.125
ENSG00000112983,ENST00000402931.5,26.67821072000001,19.60683475,19.119048449999998,53.259424650000014,24.49110632,193.27525461000002,51.79285895,79.43227217999997
ENSG00000170469,ENST00000450845.7,0,4,0,3,2,19.9998638,0,1
ENSG00000131504,ENST00000389054.8,25.13333368999999,16.694925679999997,14.282173119999994,72.85144392000004,21.372627629999997,140.56518406499984,88.92317637999997,44.539701380000004
ENSG00000206503,ENST00000376809.10,19.02231565,16.51783218,20.583766240000003,51.81743066499999,16.046943656824,39.210375626,26.767452830000003,11.1
ENSG00000204592,ENST00000376630.5,12,76,12,42,60,1034,48,29
ENSG00000288473,ENST00000477288.5,3.51071432,8.0642167,2.77380958,11.554761939999999,4.438095280000001,36.41646156000001,5.875000070000001,2.4023810099999996
ENSG00000204469,ENST00000376033.3,55.15000002000001,65.30000006000002,53.69182084000001,165.2000000799999,71.50000006,371.33840814000007,169.71248245999996,125.70000003999999
ENSG00000112655,ENST00000470019.5,11.309523899999999,6.608333439999999,14.564739748000001,20.295238215999998,7.211904810000001,62.934623810000026,15.922619159999996,4.327380980000001
ENSG00000234127,ENST00000454678.7,6.33333334,10.5,4.083333339999999,21.783333359999997,7.08333334,73.66666684,33.416677979999996,11.000001119999999
ENSG00000204310,ENST00000490711.5,12.375000459999992,13.767857419999995,10.105626269999993,35.49547189999999,12.410874799999993,76.13352072999977,23.963677240000003,20.34476028
ENSG00000124496,ENST00000372922.8,8.20833335,5.141666669999999,2.7916666699999997,14.825000049999998,1.6166667,46.39166688,8.08333334,5.15833334
ENSG00000106012,ENST00000402050.7,26.700000019999997,26.3227097,18.26785715,87.29215671,15.691666689999998,135.73168845999996,22.1981843,16.29166668
ENSG00000136295,ENST00000403167.5,34.41967682,28,24.74871764,96.25000003999999,26.25,260.45971802,60.1703126,25.25
ENSG00000173114,ENST00000422987.3,16.66666692,44.50000052000001,11.16666686,287.3044314600003,18.08333378,133.3666683799997,126.60456756999982,92.66666665999999
ENSG00000198839,ENST00000361822.8,50.833333339999996,52,37.5,102.6622229,46.91444474,326.17643636,60.33333334,25.0811114
ENSG00000164880,ENST00000404767.8,28.5,31.5,29,103,42.5,211,70,50
ENSG00000122778,ENST00000422774.2,96.16666670000001,45.5,62.5,263.05436810000003,35.5,158.50000119999999,81.5,84
ENSG00000167912,ENST00000662685.4,0.34722222,2.6770202,0.25,4.83106061,3.40681818,50.413136430000016,1.36111111,1.55681818
ENSG00000166197,ENST00000370007.5,17.241666939999998,16.865985929999994,7.83333342,33.50000049000001,18.642857349999996,68.75952504000004,38.16666738000001,11.269047909999996
ENSG00000245573,ENST00000650855.1,1,0.33333334,0.18181819,0,0.13333334,9.782539745000001,0.22900433499999998,0
ENSG00000169519,ENST00000437814.1,4,4,2,1,1,28,6,2
ENSG00000174871,ENST00000311445.7,58.49170196,41.75,35.833333339999996,77.14633006,37.5,185.82920584000001,89.5,22
ENSG00000175376,ENST00000312234.6,11.250000259999998,16.241702079999996,6.00000008,20.250000299999986,9.00000012,62.61783413000009,15.000000319999998,10.666666800000002
ENSG00000149564,ENST00000444566.5,0,0.33333334,1.33333338,0,0,0,0,0
ENSG00000151503,ENST00000532445.2,2,4,0,5,0,3.5,15,6
ENSG00000229117,ENST00000546591.6,206.72715854000012,189.96331170000005,93.8122464,370.8766637999998,139.59781584000007,1182.8526268999983,304.7520813000001,108.16270295999999
ENSG00000182196,ENST00000543566.6,33.66106775,28.088989729999998,27.7620024,84.34586670999998,36.190118049999995,206.13266158,120.36287745000001,38.151451009999995
ENSG00000182196,ENST00000315580.10,31.49177771,55.16966827000001,36.8988913,139.64753544000004,55.827130700000005,322.5290549899997,144.33339384999996,59.697245249999995
ENSG00000130921,ENST00000253233.6,91.59328690999997,90.77500012,52.68571439999999,175.16785952999993,84.50785180000001,336.60581651000007,191.33456098999994,139.30040942
ENSG00000174456,ENST00000546651.3,61,39,26,102.5,33.5,285,36,19
ENSG00000111237,ENST00000360579.11,16.265054099999997,51.52553454,29.804458749999995,47.29704817999998,55.15833037000001,372.5857777799999,144.79583820999997,68.80895233000001
ENSG00000184047,ENST00000342392.3,11.04398191,22.070681410000002,9.02079174,22.32261909,8.342453840000001,72.952047655,25.737541529999994,11.51666668
ENSG00000256053,ENST00000440963.2,5,20,10,39,15,182.36270332,22,4
ENSG00000126214,ENST00000553286.5,62.10357928,27.476695862000003,28.965233369999996,55.93652322999999,6.26665748,69.96990271074999,21.10891368,19.120672930000005
ENSG00000156411,ENST00000286953.8,325.29166674,366.4403845,280.5,1012.3729420199998,287.51815744,2689.3089104399996,626.59598884,286.31526574000003
ENSG00000140525,ENST00000564636.1,0,0,0,1,1,0,9,1
ENSG00000261478,ENST00000567484.1,13,6,8,22,22,84,18,7
ENSG00000128881,ENST00000267890.11,174.16666668,73.5186573,66.5024849,325.76680818,44.333333339999996,425.5000125,128.00223,89.5000083
ENSG00000169783,ENST00000561030.5,39.499954599999995,23.2358983,5.5,9.5,9.5,20,3,2
ENSG00000182054,ENST00000330062.8,112,113.66666667999999,72.33333334,358.32756324,170,1551.9280430600002,841.4751095999999,291.9940884
ENSG00000079616,ENST00000563666.2,1.33333334,1.125,1.58333334,1.6666667,0.66666668,4.00757581,11.333333499999998,7.07022354
ENSG00000013364,ENST00000395353.5,2,5,2.5,4,2.5,118.3637561,2.5,1
ENSG00000013364,ENST00000357402.10,0,2,0.5,1,0.5,49.13624394,0.5,0
ENSG00000174939,ENST00000308748.10,45.5,21.33333334,15.5,49.333333339999996,1.5,20.76434604,5,4.5
ENSG00000179965,ENST00000319296.10,20,28.5,25.5,58.6058099,32,190.86042357000002,55.5,38
ENSG00000103549,ENST00000493683.5,10.516666729999997,12.900000059999998,6.08333334,28.73336965,11.26666669,73.11677015000001,23.432173139999996,3.66666667
ENSG00000180096,ENST00000652617.2,0.66666668,5.16666672,3.1666667599999996,6.16666682,1.16666668,27.000000519999983,9.166666879999998,1.33333338
ENSG00000169955,ENST00000395094.3,3.66666676,5.000000099999999,3.3333334,13.333333559999993,5.33333342,34.33333393999999,6.000000139999998,5.00000004
ENSG00000229809,ENST00000223459.11,29.00177912,18.66666668,9.6666667,50.670378299999996,27.0005007,186.09061526000002,39.333333339999996,22.98890567
ENSG00000167193,ENST00000398970.5,71.24702966,77.6123652,48,164.65145157999999,66.5920169,434.84811234000006,116.38357514,72.4996985
