gene_id,transcript_id,Callosal Projection Neurons (Upper Layer),Glutamatergic Neurons,Intermediate Progenitors (IP),Interneurons,Oligodendrocyte Progenitors,oRG to Astrocytes (Transitioning),oRG to Oligodendrocyte Progenitors (Transitioning),Outer Radial Glia (oRG) - Cycling,Apical Radial Glia (aRG) - Cycling,Cortical Hem Cells,Corticofugal Projection Neurons (Deep Layer),Corticothalamic Projection Neurons (Deep Layer),Glutamatergic Neurons (Unspecified Layer),Outer Radial Glia (oRG),Apical Radial Glia (aRG),Cajal-Retzius Cells,Deep Layer Projection Neurons,Newborn Deep Layer Projection Neurons,Preplate Neurons,Radial Glia (Mixed),Subcortical Progenitors
ENSG00000134369,ENST00000477118.2,9,4,4,10,1,51,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225206,ENST00000424528.2,156.00083395000001,16.66666668,2.5,0.5,1,4,0,0,1,0,75.96417549,77.2932207,12.87582774,0.33333334,0,0,0,0,0,0,0
ENSG00000115234,ENST00000453453.1,3.3333333400000003,2.2,2.75000002,6.633333340000001,4.2833334,29.22009087999999,8.97916137,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000218739,ENST00000392061.6,8,19.4035048,8.6053797,29.5,8.5059407,138.5718685,9.5,6,35.2529703,60.568548899999996,0,0,0,0,44.353503839999995,36.512429999999995,34.2529703,30.5,47.012429999999995,25.586303700000002,23.5
ENSG00000233723,ENST00000429095.6,100.041666668,5.5,10.5,21.1512355,1,1,2,1.5,0,0,84.114505278,139.53661979999998,19.6738946,0,0,0,0,0,0,0,0
ENSG00000144395,ENST00000463826.5,11,1,2,1,3,6,21.142857149999998,17,49,1,1,6,0,1,12.5,0,0,5,5,0,3
ENSG00000115935,ENST00000392547.6,2.87896833,2.4761905300000002,2.4107143200000003,11.110714459999997,6.922619160000001,49.93585860000005,13.681112629999998,5.79761921,2.2321429,1.26785715,0.33333334,0.14285715,1.9583333699999999,4.66071435,0,0,0,0,0,0,0
ENSG00000119042,ENST00000443023.5,500.27995936000076,14.513407619999995,8.67142871,12.160714429999995,3.6821429799999996,15.306349459999991,8.8142858,0.5714286,1.31071431,2.14285715,66.16639133,136.94239832999986,23.395635079999995,5.09642866,0,0,0,0,0,0,0
ENSG00000155729,ENST00000409157.5,18,20.5,5,35.833333339999996,7.5,81.83332414,10.5,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000171951,ENST00000421386.1,0.5,0,0,0,0,17.0680536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000076242,ENST00000231790.8,3.6891853279999998,6.617482532,3.069444442,17.444024983999995,4.326320838,36.70615094,49.99928368500001,18.080981733,60.35519271900003,12.725407947999999,0,0,0,0,42.756949529,6.927331014000001,7.883744256649998,12.281509657,12.934310331999999,8.874341022,17.906440187999998
