"Gene","Dataset","Trait","Method","HGNC","Transcript","Chromosome","Start","End","Biotype","Z","P","Permutation.P","R2","Top.GWAS.SNP","Top.GWAS.P","Screen.P","Screening.Adjusted.P","Confirmation.P"
"ENSG00000076242","Developmental","BP","isoTWAS","MLH1","ENST00000466900",3,36993350,37050846,"protein_coding",-3.528499785,0.000417922,0.025974026,0.011140122,"rs9834970",6.63e-19,4.91391728691404e-11,2.99266834315116e-09,0.00835844
"ENSG00000076242","Developmental","BP","isoTWAS","MLH1","ENST00000673715",3,36993350,37050846,"protein_coding",4.252220344,2.12e-05,0.030969031,0.025196018,"rs9834970",6.63e-19,4.91391728691404e-11,2.99266834315116e-09,0.0004876
"ENSG00000168016","Developmental","BP","isoTWAS","TRANK1","ENST00000646897",3,36826819,36945057,"protein_coding",-4.076583862,4.57e-05,0.024975025,0.052391802,"rs9834970",6.63e-19,0.000261383055567847,0.0016431403616039,0.0002285
"ENSG00000076242","Developmental","BP","isoTWAS","MLH1","ENST00000673741",3,36993350,37050846,"protein_coding",4.514100331,6.36e-06,0.000999001,0.034334911,"rs9834970",6.63e-19,4.91391728691404e-11,2.99266834315116e-09,0.00015264
"ENSG00000235257","Developmental","BP","isoTWAS","ITGA9-AS1","ENST00000594579",3,37693655,37861802,"lncRNA",-4.38411794,1.16e-05,0.027972028,0.015929368,"rs9834970",6.63e-19,5.09460197706717e-05,0.000479427296255901,0.0001392
"ENSG00000198590","Developmental","BP","isoTWAS","APRG1","ENST00000426078",3,37381062,37440186,"lncRNA",-4.285585805,1.82e-05,0.017982018,0.026754953,"rs9834970",6.63e-19,9.01400099919978e-05,0.000745653316894338,7.28e-05
"ENSG00000076242","Developmental","BP","isoTWAS","MLH1","ENST00000447829",3,36993350,37050846,"protein_coding",-5.011727959,5.39e-07,0.006993007,0.042013368,"rs9834970",6.63e-19,4.91391728691404e-11,2.99266834315116e-09,1.3475e-05
"ENSG00000144681","Developmental","BP","isoTWAS","STAC","ENST00000427486",3,36380503,36548007,"protein_coding",4.752547308,2.01e-06,0.003996004,0.055866612,"rs9834970",6.63e-19,8.0375278765452e-06,0.000108459583946123,6.03e-06
"ENSG00000235257","Developmental","BP","isoTWAS","ITGA9-AS1","ENST00000630010",3,37693655,37861802,"lncRNA",4.454708367,8.4e-06,0.032967033,0.015735378,"rs4789",1.86e-16,5.09460197706717e-05,0.000479427296255901,0.0001008
"ENSG00000271860","Developmental","BP","isoTWAS","","ENST00000658994",6,97283303,98400869,"lncRNA",5.912651796,3.37e-09,0.006993007,0.044751949,"rs12202969",1.65e-15,1.31391292306543e-07,3.32370543344091e-06,1.2806e-07
"ENSG00000171792","Developmental","BP","isoTWAS","RHNO1","ENST00000538700",12,2876258,2889524,"protein_coding",-3.428192484,0.000607614,0.013986014,0.010366516,"rs2159100",1.87e-15,0.00275670845742056,0.00852472078833308,0.00303807
"ENSG00000272305","Developmental","BP","isoTWAS","","ENST00000607203",3,52969119,53099453,"protein_coding",-6.575327374,4.85e-11,0.040959041,0.043538513,"rs2071042",5.74e-12,1.13699999991115e-20,4.05229213471803e-18,9.7e-11
"ENSG00000230333","Developmental","BP","isoTWAS","","ENST00000599917",7,11180902,11520175,"lncRNA",3.634758559,0.000278241,0.008991009,0.031896013,"rs12234369",1.29e-11,0.000598741219353601,0.00298134073125233,0.001669446
"ENSG00000164080","Developmental","BP","isoTWAS","RAD54L2","ENST00000602430",3,51538719,51668667,"protein_coding",-5.375845704,7.62e-08,0.038961039,0.034466007,"rs9311474",2.54e-11,2.28565402002394e-07,5.29576831040267e-06,1.524e-07
"ENSG00000043462","Developmental","BP","isoTWAS","LCP2","ENST00000628092",5,170246233,170297815,"protein_coding",6.043708904,1.51e-09,0.000999001,0.026385742,"rs10866641",2.79e-11,4.52999873281841e-09,1.68455413707272e-07,3.02e-09
"ENSG00000151150","Developmental","BP","isoTWAS","ANK3","ENST00000508449",10,60026298,60733490,"protein_coding",-3.330149087,0.000867995,0.018981019,0.016466256,"rs4948412",2.85e-11,4.5088700962451e-05,0.000437289089757167,0.016491905
"ENSG00000151150","Developmental","BP","isoTWAS","ANK3","ENST00000489505",10,60026298,60733490,"protein_coding",3.646830685,0.000265495,0.048951049,0.022941508,"rs4948412",2.85e-11,4.5088700962451e-05,0.000437289089757167,0.0053099
"ENSG00000151150","Developmental","BP","isoTWAS","ANK3","ENST00000618080",10,60026298,60733490,"protein_coding",4.74321812,2.1e-06,0.005994006,0.013949833,"rs4948412",2.85e-11,4.5088700962451e-05,0.000437289089757167,4.41e-05
"ENSG00000072422","Developmental","BP","isoTWAS","RHOBTB1","ENST00000496237",10,60869438,61001440,"protein_coding",4.358226088,1.31e-05,0.002997003,0.021003538,"rs4948412",2.85e-11,4.65058849414432e-05,0.00044782725362169,3.93e-05
"ENSG00000119950","Developmental","BP","isoTWAS","MXI1","ENST00000651225",10,110207605,110287365,"protein_coding",-3.989499597,6.62e-05,0.032967033,0.021371422,"rs7079713",5.83e-11,0.00116050715364049,0.00475849211194202,0.0012578
"ENSG00000148700","Developmental","BP","isoTWAS","ADD3","ENST00000459738",10,109996368,110135565,"protein_coding",4.206924931,2.59e-05,0.008991009,0.016867287,"rs7079713",5.83e-11,0.000276539574739236,0.00171392941502171,0.000259
"ENSG00000108039","Developmental","BP","isoTWAS","XPNPEP1","ENST00000403138",10,109864766,109923553,"protein_coding",4.84900155,1.24e-06,0.006993007,0.023619638,"rs7079713",5.83e-11,2.0978323283987e-05,0.000239610162406417,1.984e-05
"ENSG00000197696","Developmental","BP","isoTWAS","NMB","ENST00000360476",15,84655129,84658563,"protein_coding",-5.149978147,2.61e-07,0.008991009,0.134169877,"rs11633534",2.48e-10,5.21970278752818e-07,1.09688519906142e-05,2.61e-07
"ENSG00000259683","Developmental","BP","isoTWAS","","ENST00000561247",15,84389729,84395903,"unprocessed_pseudogene",5.064475616,4.1e-07,0.030969031,0.554421882,"rs11633534",2.48e-10,4.10000000043287e-07,8.88186577274981e-06,0
"ENSG00000012048","Developmental","BP","isoTWAS","BRCA1","ENST00000473961",17,43044295,43170245,"protein_coding",3.408243561,0.000653825,0.043956044,0.021394132,"rs228768",2.83e-10,0.00620201543179908,0.0144159729388049,0.0078459
