"Gene","Dataset","Trait","Method","HGNC","Transcript","Chromosome","Start","End","Biotype","Z","P","Permutation.P","R2","Top.GWAS.SNP","Top.GWAS.P","Screen.P","Screening.Adjusted.P","Confirmation.P"
"ENSG00000224843","Developmental","SCZ","isoTWAS","LINC00240","ENST00000664092",6,26956932,27059749,"lncRNA",9.436487084,3.85e-21,0.047952048,0.032044941,"rs10484399",7.38e-40,1.15499992686678e-20,4.05229213471803e-18,7.7e-21
"ENSG00000137338","Developmental","SCZ","isoTWAS","PGBD1","ENST00000259883",6,28281572,28302549,"protein_coding",10.12017006,4.5e-24,0.045954046,0.077592162,"rs10484399",7.38e-40,4.5e-24,3.8223947368421e-21,0
"ENSG00000197062","Developmental","SCZ","isoTWAS","ZSCAN26","ENST00000617168",6,28267058,28278224,"protein_coding",12.34589828,5.13e-35,0.001998002,0.026432419,"rs10484399",7.38e-40,3.59094660418528e-34,9.6590478741577e-31,3.078e-34
"ENSG00000186470","Developmental","SCZ","isoTWAS","BTN3A2","ENST00000528222",6,26365159,26378320,"protein_coding",9.015385415,1.96e-19,0.011988012,0.055435006,"rs13198716",9.13e-36,6.83786641037961e-20,1.88718095610794e-17,9.8e-19
"ENSG00000221988","Developmental","SCZ","isoTWAS","PPT2","ENST00000375137",6,32153441,32163678,"protein_coding",-6.443419063,1.17e-10,0.048951049,0.030972516,"rs3132445",5.99e-27,1.81799513717741e-15,2.46559861503414e-13,5.85e-10
"ENSG00000244731","Developmental","SCZ","isoTWAS","C4A","ENST00000467948",6,31982057,32002681,"protein_coding",7.019236689,2.23e-12,0.040959041,0.028890607,"rs3132445",5.99e-27,9.94023538169094e-13,8.48811951455609e-11,2.453e-11
"ENSG00000204463","Developmental","SCZ","isoTWAS","BAG6","ENST00000465348",6,31639028,31652705,"protein_coding",-8.091983836,5.87e-16,0.03996004,0.032741927,"rs3132445",5.99e-27,9.23457735975901e-16,1.33068610722456e-13,1.0566e-14
"ENSG00000231852","Developmental","SCZ","isoTWAS","CYP21A2","ENST00000486063",6,32038327,32041644,"protein_coding",7.045281282,1.85e-12,0.038961039,0.023955045,"rs3132445",5.99e-27,5.88812514026446e-14,6.25187181833738e-12,1.85e-12
"ENSG00000204469","Developmental","SCZ","isoTWAS","PRRC2A","ENST00000376033",6,31620715,31637771,"protein_coding",8.017147136,1.08e-15,0.035964036,0.030990265,"rs3132445",5.99e-27,6.65988584038468e-16,9.77126341617894e-14,6.48e-15
"ENSG00000288473","Developmental","SCZ","isoTWAS","","ENST00000477288",6,30908242,30926459,"lncRNA",-8.771530389,1.76e-18,0.031968032,0.045685849,"rs3132445",5.99e-27,1.76e-18,3.94508888888889e-16,0
"ENSG00000225914","Developmental","SCZ","isoTWAS","TSBP1-AS1","ENST00000653107",6,32254640,32407763,"lncRNA",-7.463502542,8.43e-14,0.028971029,0.088733804,"rs3132445",5.99e-27,1.26504326878231e-12,1.05239862447823e-10,1.1802e-12
"ENSG00000204390","Developmental","SCZ","isoTWAS","HSPA1L","ENST00000375654",6,31809619,31815283,"protein_coding",-8.353788536,6.61e-17,0.028971029,0.050950913,"rs3132445",5.99e-27,6.61e-17,1.18531988888889e-14,0
"ENSG00000204394","Developmental","SCZ","isoTWAS","VARS1","ENST00000461328",6,31777518,31795752,"protein_coding",-8.302668577,1.02e-16,0.027972028,0.01597213,"rs3132445",5.99e-27,6.50157624247623e-16,9.62650816305723e-14,7.14e-16
"ENSG00000198563","Developmental","SCZ","isoTWAS","DDX39B","ENST00000417023",6,31530219,31542448,"protein_coding",-8.447866832,2.97e-17,0.021978022,0.011425906,"rs3132445",5.99e-27,5.01222636543528e-16,7.77810781843846e-14,4.752e-16
"ENSG00000244731","Developmental","SCZ","isoTWAS","C4A","ENST00000483974",6,31982057,32002681,"protein_coding",7.460823209,8.6e-14,0.01998002,0.0187969,"rs3132445",5.99e-27,9.94023538169094e-13,8.48811951455609e-11,9.46e-13
"ENSG00000204520","Developmental","SCZ","isoTWAS","MICA","ENST00000667609",6,31399784,31415315,"protein_coding",-9.120309469,7.49e-20,0.013986014,0.256692861,"rs3132445",5.99e-27,1.498e-19,3.89939064516129e-17,7.49e-20
"ENSG00000221988","Developmental","SCZ","isoTWAS","PPT2","ENST00000324816",6,32153441,32163678,"protein_coding",8.172255735,3.03e-16,0.007992008,0.041858528,"rs3132445",5.99e-27,1.81799513717741e-15,2.46559861503414e-13,1.515e-15
"ENSG00000204310","Developmental","SCZ","isoTWAS","AGPAT1","ENST00000490711",6,32168212,32178096,"protein_coding",8.326458404,8.33e-17,0.006993007,0.047074363,"rs3132445",5.99e-27,3.11920507455805e-16,4.98424264339528e-14,2.499e-16
"ENSG00000204435","Developmental","SCZ","isoTWAS","CSNK2B","ENST00000375865",6,31665227,31670343,"protein_coding",9.585126243,9.23e-22,0.006993007,0.012144671,"rs3132445",5.99e-27,4.61499686877356e-21,2.12804098471818e-18,3.692e-21
"ENSG00000204427","Developmental","SCZ","isoTWAS","ABHD16A","ENST00000471644",6,31686955,31703356,"protein_coding",9.893855223,4.43e-23,0.005994006,0.029402442,"rs3132445",5.99e-27,3.10099999996941e-22,1.91831180323792e-19,2.658e-22
"ENSG00000204387","Developmental","SCZ","isoTWAS","SNHG32","ENST00000375641",6,31834608,31839766,"lncRNA",-9.024892872,1.8e-19,0.001998002,0.098203188,"rs3132445",5.99e-27,8.99948235312173e-19,2.07489493852902e-16,7.2e-19
"ENSG00000204348","Developmental","SCZ","isoTWAS","DXO","ENST00000473976",6,31969810,31972290,"protein_coding",9.794645773,1.19e-22,0.000999001,0.01275504,"rs3132445",5.99e-27,1.18999999999991e-21,6.62255517241331e-19,1.071e-21
"ENSG00000204304","Developmental","SCZ","isoTWAS","PBX2","ENST00000478678",6,32184733,32190202,"protein_coding",-10.51014624,7.76e-26,0.000999001,0.050115363,"rs3132445",5.99e-27,2.32799999999137e-25,2.6836851428472e-22,1.552e-25
"ENSG00000204428","Developmental","SCZ","isoTWAS","LY6G5C","ENST00000375863",6,31676684,31684040,"protein_coding",-12.44814761,1.43e-35,0.000999001,0.620583612,"rs3132445",5.99e-27,4.29e-35,1.3847262e-31,2.86e-35
"ENSG00000200816","Developmental","SCZ","isoTWAS","SNORA38","ENST00000363946",6,31623079,31623210,"snoRNA",13.02542249,8.77e-39,0.000999001,0.031050765,"rs3132445",5.99e-27,8.77e-39,3.53847575e-35,0
"ENSG00000137312","Developmental","SCZ","isoTWAS","FLOT1","ENST00000484168",6,30727709,30742732,"protein_coding",-10.15634864,3.1e-24,0.005994006,0.148749288,"rs3101018",1.57e-26,1.24e-23,9.09652727272726e-21,9.3e-24
"ENSG00000204257","Developmental","SCZ","isoTWAS","HLA-DMA","ENST00000464392",6,32948613,32969094,"protein_coding",-6.75998272,1.38e-11,0.01998002,0.104086808,"rs1150753",6.02e-26,2.74215453353841e-11,1.80635232721536e-09,1.38e-11
"ENSG00000234127","Developmental","SCZ","isoTWAS","TRIM26","ENST00000454678",6,30184455,30213427,"protein_coding",-7.272832109,3.52e-13,0.044955045,0.052254531,"rs3130557",1.33e-25,7.04001727387773e-13,6.38308083051195e-11,3.52e-13
