"Gene","Dataset","Trait","Method","HGNC","Transcript","Chromosome","Start","End","Biotype","Z","P","Permutation.P","R2","Top.GWAS.SNP","Top.GWAS.P","Screen.P","Screening.Adjusted.P","Confirmation.P"
"ENSG00000130208","Developmental","ALZ","isoTWAS","APOC1","ENST00000588802",19,44914247,44919349,"protein_coding",-13.54608103,8.36e-42,0.015984016,0.069872395,"rs769450",1.07e-160,5.016e-41,4.0476612e-37,4.18e-41
"ENSG00000125746","Developmental","ALZ","isoTWAS","EML2","ENST00000588000",19,45606994,45645602,"protein_coding",10.17592475,2.54e-24,0.022977023,0.018372988,"rs769450",1.07e-160,1.47356296348656e-24,1.48636454173185e-21,4.826e-23
"ENSG00000125744","Developmental","ALZ","isoTWAS","RTN2","ENST00000430715",19,45485294,45497055,"protein_coding",-9.841517577,7.46e-23,0.026973027,0.013784735,"rs3852861",5.94e-65,2.9839999999893e-22,1.91831180323792e-19,2.238e-22
"ENSG00000104859","Developmental","ALZ","isoTWAS","CLASRP","ENST00000221455",19,45039045,45070956,"protein_coding",-11.56373056,6.29e-31,0.000999001,0.017037006,"rs3852861",5.94e-65,8.80585385193522e-30,1.42117675316382e-26,8.177e-30
"ENSG00000224843","Developmental","SCZ","isoTWAS","LINC00240","ENST00000664092",6,26956932,27059749,"lncRNA",9.436487084,3.85e-21,0.047952048,0.032044941,"rs10484399",7.38e-40,1.15499992686678e-20,4.05229213471803e-18,7.7e-21
"ENSG00000137338","Developmental","SCZ","isoTWAS","PGBD1","ENST00000259883",6,28281572,28302549,"protein_coding",10.12017006,4.5e-24,0.045954046,0.077592162,"rs10484399",7.38e-40,4.5e-24,3.8223947368421e-21,0
"ENSG00000197062","Developmental","SCZ","isoTWAS","ZSCAN26","ENST00000617168",6,28267058,28278224,"protein_coding",12.34589828,5.13e-35,0.001998002,0.026432419,"rs10484399",7.38e-40,3.59094660418528e-34,9.6590478741577e-31,3.078e-34
"ENSG00000204866","Developmental","ALZ","isoTWAS","IGFL2","ENST00000600243",19,46143106,46161298,"protein_coding",5.198670225,2.01e-07,0.015984016,0.018676876,"rs1048699",3.88e-37,4.01998873241786e-07,8.74374638173745e-06,2.01e-07
"ENSG00000186470","Developmental","SCZ","isoTWAS","BTN3A2","ENST00000528222",6,26365159,26378320,"protein_coding",9.015385415,1.96e-19,0.011988012,0.055435006,"rs13198716",9.13e-36,6.83786641037961e-20,1.88718095610794e-17,9.8e-19
"ENSG00000238083","Developmental","NTSM","isoTWAS","LRRC37A2","ENST00000576629",17,46511508,46556910,"protein_coding",-8.710740522,3.02e-18,0.025974026,0.069578733,"rs1876829",9.98e-30,3.33589958158992e-18,7.08395833516839e-16,6.04e-18
