Gene,Dataset,Trait,Method,HGNC,Transcript,Chromosome,Start,End,Biotype,Z,P,"Permutation P",R2,"Top GWAS SNP","Top GWAS P",Screen.P,"Screening Adjusted P","Confirmation P"
ENSG00000130208,Developmental,ALZ,isoTWAS,APOC1,ENST00000588802,19,44914247,44919349,protein_coding,-13.54608103,8.36E-42,0.015984016,0.069872395,rs769450,1.07E-160,5.016E-41,4.0476612E-37,4.18E-41
ENSG00000125746,Developmental,ALZ,isoTWAS,EML2,ENST00000588000,19,45606994,45645602,protein_coding,10.17592475,2.54E-24,0.022977023,0.018372988,rs769450,1.07E-160,1.47356296348656E-24,1.48636454173185E-21,4.826E-23
ENSG00000125744,Developmental,ALZ,isoTWAS,RTN2,ENST00000430715,19,45485294,45497055,protein_coding,-9.841517577,7.46E-23,0.026973027,0.013784735,rs3852861,5.94E-65,2.9839999999893E-22,1.91831180323792E-19,2.238E-22
ENSG00000104859,Developmental,ALZ,isoTWAS,CLASRP,ENST00000221455,19,45039045,45070956,protein_coding,-11.56373056,6.29E-31,0.000999001,0.017037006,rs3852861,5.94E-65,8.80585385193522E-30,1.42117675316382E-26,8.177E-30
ENSG00000224843,Developmental,SCZ,isoTWAS,LINC00240,ENST00000664092,6,26956932,27059749,lncRNA,9.436487084,3.85E-21,0.047952048,0.032044941,rs10484399,7.38E-40,1.15499992686678E-20,4.05229213471803E-18,7.7E-21
ENSG00000137338,Developmental,SCZ,isoTWAS,PGBD1,ENST00000259883,6,28281572,28302549,protein_coding,10.12017006,4.5E-24,0.045954046,0.077592162,rs10484399,7.38E-40,4.5E-24,3.8223947368421E-21,0
ENSG00000197062,Developmental,SCZ,isoTWAS,ZSCAN26,ENST00000617168,6,28267058,28278224,protein_coding,12.34589828,5.13E-35,0.001998002,0.026432419,rs10484399,7.38E-40,3.59094660418528E-34,9.6590478741577E-31,3.078E-34
ENSG00000204866,Developmental,ALZ,isoTWAS,IGFL2,ENST00000600243,19,46143106,46161298,protein_coding,5.198670225,2.01E-07,0.015984016,0.018676876,rs1048699,3.88E-37,4.01998873241786E-07,8.74374638173745E-06,2.01E-07
ENSG00000186470,Developmental,SCZ,isoTWAS,BTN3A2,ENST00000528222,6,26365159,26378320,protein_coding,9.015385415,1.96E-19,0.011988012,0.055435006,rs13198716,9.13E-36,6.83786641037961E-20,1.88718095610794E-17,9.8E-19
ENSG00000238083,Developmental,NTSM,isoTWAS,LRRC37A2,ENST00000576629,17,46511508,46556910,protein_coding,-8.710740522,3.02E-18,0.025974026,0.069578733,rs1876829,9.98E-30,3.33589958158992E-18,7.08395833516839E-16,6.04E-18
